Day,Sales
Day 1,1926
Day 2,3883
Day 3,6516
Day 4,1607
Day 5,148
Day 6,3238
Day 7,9142
Day 8,959
Day 9,7638
Day 10,4476
Day 11,9655
Day 12,9738
Day 13,190
Day 14,2398
Day 15,8707
Day 16,400
Day 17,7918
Day 18,922
Day 19,9665
Day 20,2629
Day 21,4958
Day 22,1128
Day 23,5580
Day 24,8191
Day 25,5578
Day 26,8549
Day 27,4313
Day 28,7940
Day 29,9554
Day 30,518
Day 31,1238
Day 32,541
Day 33,5132
Day 34,6753
Day 35,1847
Day 36,5617
Day 37,1806
Day 38,2631
Day 39,5484
Day 40,6106
Day 41,2378
Day 42,460
Day 43,4958
Day 44,1722
Day 45,6570
Day 46,3784
Day 47,1891
Day 48,8558
Day 49,4410
Day 50,2167
Day 51,1300
Day 52,5559
Day 53,6627
Day 54,8661
Day 55,696
Day 56,9258
Day 57,1551
Day 58,3169
Day 59,553
Day 60,9338
Day 61,2709
Day 62,6017
Day 63,7138
Day 64,5649
Day 65,4561
Day 66,626
Day 67,4315
Day 68,9392
Day 69,2493
Day 70,3165
Day 71,4886
Day 72,1224
Day 73,1767
Day 74,1069
Day 75,8995
Day 76,1327
Day 77,202
Day 78,6027
Day 79,1951
Day 80,2393
Day 81,9317
Day 82,7723
Day 83,5888
Day 84,2935
Day 85,8320
Day 86,5932
Day 87,5181
Day 88,8731
Day 89,2324
Day 90,746
Day 91,4303
Day 92,4956
Day 93,3965
Day 94,5283
Day 95,9632
Day 96,9679
Day 97,4002
Day 98,4179
Day 99,3254
Day 100,757
Day 101,1868
Day 102,5859
Day 103,1540
Day 104,2599
Day 105,9887
Day 106,1029
Day 107,4165
Day 108,1994
Day 109,4637
Day 110,6656
Day 111,5459
Day 112,3919
Day 113,2376
Day 114,8220
Day 115,8549
Day 116,8245
Day 117,1410
Day 118,5813
Day 119,5645
Day 120,7699
Day 121,6526
Day 122,1128
Day 123,5755
Day 124,7031
Day 125,6495
Day 126,8692
Day 127,9992
Day 128,6194
Day 129,615
Day 130,3966
Day 131,7308
Day 132,9576
Day 133,1921
Day 134,8251
Day 135,1258
Day 136,431
Day 137,5627
Day 138,9938
Day 139,6102
Day 140,7907
